categoria,sottocategoria,domanda,risposta,tag,priorita
Azienda,Informazioni Generali,Chi è NexaTech Srl?,NexaTech Srl è un'azienda italiana fondata nel 2011 a Milano specializzata nella vendita di elettronica di consumo e accessori tecnologici. Opera sia online tramite il sito www.nexatech.it che attraverso 8 punti vendita fisici in tutta Italia.,azienda;storia;chi siamo,alta
Azienda,Informazioni Generali,Dove si trovano i negozi NexaTech?,I negozi NexaTech si trovano a: Milano (Via Torino 45 e Viale Monza 12) - Roma (Via del Corso 88) - Torino (Corso Francia 201) - Bologna (Via Indipendenza 34) - Firenze (Via Calzaiuoli 9) - Napoli (Via Toledo 156) - Bari (Corso Vittorio Emanuele 78).,negozi;punti vendita;sedi,alta
Azienda,Informazioni Generali,Quali sono gli orari del servizio clienti?,Il servizio clienti è disponibile dal lunedì al venerdì dalle 9:00 alle 18:00 e il sabato dalle 9:00 alle 13:00. Fuori dagli orari è possibile lasciare un messaggio via email a supporto@nexatech.it o tramite il form sul sito.,orari;supporto;contatti,alta
Azienda,Informazioni Generali,Come posso contattare NexaTech?,Puoi contattarci via email a supporto@nexatech.it - telefono al numero 02 8945 6700 - chat live sul sito (disponibile negli orari di apertura) - tramite i nostri social (Instagram @nexatech_it - Facebook /nexatechitalia).,contatti;email;telefono;social,alta
Azienda,Informazioni Generali,NexaTech ha un programma fedeltà?,Sì. Il programma NexaClub offre punti su ogni acquisto (1 punto ogni euro speso). I punti si accumulano e possono essere convertiti in buoni sconto: 100 punti = 1€ di sconto. Ci sono tre livelli: Silver (0-499 punti) - Gold (500-1499 punti) - Platinum (1500+ punti) con vantaggi crescenti.,fedeltà;nexaclub;punti;sconti,media
Azienda,Informazioni Generali,Cosa offre il livello Platinum di NexaClub?,Il livello Platinum offre: spedizione gratuita su tutti gli ordini - accesso prioritario al supporto clienti - inviti ad eventi esclusivi - sconti aggiuntivi del 5% su tutti i prodotti - assistenza tecnica telefonica dedicata.,nexaclub;platinum;vantaggi;fedeltà,media
Prodotti,Smartphone,Quali smartphone vendete?,NexaTech vende smartphone dei principali brand: Apple (iPhone 15 - 15 Plus - 15 Pro - 15 Pro Max) - Samsung (Galaxy S24 - S24+ - S24 Ultra - A55 - A35) - Google (Pixel 8 - Pixel 8 Pro) - Xiaomi (14 - 14 Pro - Redmi Note 13) - OnePlus (12 - Nord 3).,smartphone;brand;prodotti;catalogo,alta
Prodotti,Smartphone,Qual è il prezzo dell'iPhone 15 Pro?,L'iPhone 15 Pro è disponibile nei colori Titanio Nero - Titanio Bianco - Titanio Blu - Titanio Naturale con le seguenti configurazioni: 128GB a 1.299€ - 256GB a 1.429€ - 512GB a 1.679€ - 1TB a 1.929€. I prezzi si riferiscono alla versione italiana con garanzia Apple Italia.,iphone;apple;prezzo;smartphone,alta
Prodotti,Smartphone,Samsung Galaxy S24 Ultra è disponibile?,Sì. Il Samsung Galaxy S24 Ultra è disponibile in: Titanium Black - Titanium Gray - Titanium Violet - Titanium Yellow. Prezzi: 256GB a 1.349€ - 512GB a 1.569€. Include la S Pen integrata e garanzia Samsung Italia 24 mesi.,samsung;s24 ultra;prezzo;smartphone,alta
Prodotti,Smartphone,Vendete smartphone ricondizionati?,Sì. La linea NexaRenew propone smartphone ricondizionati certificati con garanzia 12 mesi. I dispositivi sono classificati in tre gradi: Grado A (come nuovo) - Grado B (leggeri segni di utilizzo) - Grado C (segni visibili ma funzionante al 100%). Tutti i prodotti vengono testati e ripristinati prima della vendita.,ricondizionato;usato;nexarenew;garanzia,alta
Prodotti,Laptop e PC,Quali laptop vendete?,Il catalogo laptop include: Apple MacBook Air M3 e MacBook Pro M3 - Dell XPS 13 e XPS 15 - HP Spectre x360 e Pavilion - Lenovo ThinkPad X1 Carbon e IdeaPad - ASUS ZenBook e ROG Strix - Acer Swift e Aspire. Per gaming sono disponibili MSI Titan e Raider.,laptop;notebook;computer;catalogo,alta
Prodotti,Laptop e PC,Qual è il prezzo del MacBook Air M3?,Il MacBook Air M3 è disponibile in: Mezzanotte - Galassia - Grigio siderale - Argento. Configurazioni: 8GB RAM / 256GB SSD a 1.299€ - 8GB RAM / 512GB SSD a 1.529€ - 16GB RAM / 512GB SSD a 1.779€ - 16GB RAM / 1TB SSD a 2.029€.,macbook;apple;laptop;prezzo,alta
Prodotti,Laptop e PC,Offrite laptop per gaming?,Sì. La sezione NexaGaming include laptop gaming con: ASUS ROG Strix G16 da 1.499€ - MSI Titan GT77 da 2.999€ - Lenovo Legion Pro 7 da 1.799€ - Razer Blade 15 da 2.699€. Tutti con schermi ad alta frequenza di aggiornamento e GPU NVIDIA RTX serie 40.,gaming;laptop;asus rog;msi,media
